symbol,sector,listing_date
HCLTECH,Information Technology,2000-01-06
HDBFS,Financial Services,2025-07-02
HDFCAMC,Financial Services,2018-08-06
HDFCBANK,Financial Services,1995-11-08
HDFCLIFE,Financial Services,2017-11-17
HEG,Capital Goods,1995-05-10
HEROMOTOCO,Automobile and Auto Components,2003-04-11
HEXT,Information Technology,2025-02-19
HFCL,Telecommunication,2011-03-09
HINDALCO,Metals & Mining,1997-01-08
HINDCOPPER,Metals & Mining,2010-09-15
HINDPETRO,Oil Gas & Consumable Fuels,1998-06-17
HINDUNILVR,Fast Moving Consumer Goods,1995-07-06
HINDZINC,Metals & Mining,2006-11-21
HOMEFIRST,Financial Services,2021-02-03
HONASA,Fast Moving Consumer Goods,2023-11-07
HONAUT,Capital Goods,2003-07-18
HSCL,Chemicals,2007-03-02
HUDCO,Financial Services,2017-05-19
HYUNDAI,Automobile and Auto Components,2024-10-22
ICICIAMC,Financial Services,2025-12-19
ICICIBANK,Financial Services,1997-09-17
ICICIGI,Financial Services,2017-09-27
ICICIPRULI,Financial Services,2016-09-29
IDBI,Financial Services,1995-09-20
IDEA,Telecommunication,2007-03-09
IDFCFIRSTB,Financial Services,2015-11-06
IEX,Financial Services,2017-10-23
IFCI,Financial Services,1995-04-26
IGIL,Services,2024-12-20
IGL,Oil Gas & Consumable Fuels,2003-12-26
IIFL,Financial Services,2005-05-17
IKS,Information Technology,2024-12-19
INDGN,Healthcare,2024-05-13
INDHOTEL,Consumer Services,1996-07-03
INDIACEM,Construction Materials,2000-05-31
INDIAMART,Consumer Services,2019-07-04
INDIANB,Financial Services,2007-03-01
INDIGO,Services,2015-11-10
INDUSINDBK,Financial Services,1998-01-28
INDUSTOWER,Telecommunication,2012-12-28
INFY,Information Technology,1995-02-08
INOXWIND,Capital Goods,2015-04-09
INTELLECT,Information Technology,2014-12-18
IOB,Financial Services,2000-12-07
IOC,Oil Gas & Consumable Fuels,1996-07-24
IPCALAB,Healthcare,1995-02-08
IRB,Construction,2008-02-25
IRCON,Construction,2018-09-28
IRCTC,Consumer Services,2019-10-14
IREDA,Financial Services,2023-11-29
IRFC,Financial Services,2021-01-29
ITC,Fast Moving Consumer Goods,1995-08-23
ITCHOTELS,Consumer Services,2025-01-29
ITI,Telecommunication,2003-09-15
J&KBANK,Financial Services,1998-07-22
JAINREC,Metals & Mining,2025-10-01
JBMA,Automobile and Auto Components,2004-12-17
JINDALSAW,Capital Goods,2003-04-29
JINDALSTEL,Metals & Mining,1999-12-29
JIOFIN,Financial Services,2023-08-21
JKCEMENT,Construction Materials,2006-03-14
JKTYRE,Automobile and Auto Components,2007-03-19
JMFINANCIL,Financial Services,2006-10-10
JPPOWER,Power,2005-04-18
JSL,Metals & Mining,2003-11-17
JSWCEMENT,Construction Materials,2025-08-14
JSWDULUX,Consumer Durables,2001-06-28
JSWENERGY,Power,2010-01-04
JSWINFRA,Services,2023-10-03
JSWSTEEL,Metals & Mining,2005-03-23
JUBLFOOD,Consumer Services,2010-02-08
JUBLINGREA,Chemicals,2021-03-19
JUBLPHARMA,Healthcare,2003-06-16
JWL,Capital Goods,2010-10-18
JYOTICNC,Capital Goods,2024-01-16
KAJARIACER,Consumer Durables,2004-06-01
KALYANKJIL,Consumer Durables,2021-03-26
KARURVYSYA,Financial Services,2000-07-26
KAYNES,Capital Goods,2022-11-22
KEC,Construction,2006-03-10
KEI,Capital Goods,2006-03-23
KFINTECH,Financial Services,2022-12-29
KIMS,Healthcare,2021-06-28
KIRLOSENG,Capital Goods,2010-12-24
KOTAKBANK,Financial Services,1995-12-20
KPIL,Construction,2000-12-15
KPITTECH,Information Technology,2019-04-22
KPRMILL,Textiles,2007-08-28
LALPATHLAB,Healthcare,2015-12-23
LATENTVIEW,Information Technology,2021-11-23
LAURUSLABS,Healthcare,2016-12-19
LEMONTREE,Consumer Services,2018-04-09
LENSKART,Consumer Services,2025-11-10
LGEINDIA,Consumer Durables,2025-10-14
LICHSGFIN,Financial Services,1998-07-29
LICI,Financial Services,2022-05-17
LINDEINDIA,Chemicals,1999-06-16
LLOYDSME,Metals & Mining,2023-07-17
LODHA,Realty,2021-04-19
LT,Construction,2004-06-23
LTF,Financial Services,2011-08-12
LTFOODS,Fast Moving Consumer Goods,2006-12-18
LTM,Information Technology,2016-07-21
LTTS,Information Technology,2016-09-23
LUPIN,Healthcare,2001-09-10
M&M,Automobile and Auto Components,1996-01-03
M&MFIN,Financial Services,2006-03-17
MAHABANK,Financial Services,2004-04-12
MANAPPURAM,Financial Services,2014-12-01
MANKIND,Healthcare,2023-05-09
MAPMYINDIA,Information Technology,2021-12-21
MARICO,Fast Moving Consumer Goods,1996-05-01
MARUTI,Automobile and Auto Components,2003-07-09
MAXHEALTH,Healthcare,2020-08-21
MAZDOCK,Capital Goods,2020-10-12
MCX,Financial Services,2012-03-09
MEDANTA,Healthcare,2022-11-16
MEESHO,Consumer Services,2025-12-10
MFSL,Financial Services,2000-05-17
